NAME,LATITUDE,LONGITUDE
Teststandort für interne Tests,,
Landungsbrücke/Hafentor,9.9723,53.5457
Fischmarkt/Breite Straße,9.95088,53.5462
Paulinenplatz/Wohlwillstraße,9.96246,53.5542
Burgstraße/Hammer Landstraße,10.041298,53.555693
Innocentiapark/Oberstraße,9.98211,53.577248
Goebenstraße/Eppendorfer Weg,9.963063,53.577579
Osterstraße/Bismarckstraße,9.962395,53.573183
Christuskirche/Fruchtallee,9.96309,53.5695
Eimsbütteler Straße/Waterloostraße,9.9534,53.5662
Ottenser Marktplatz/Museumsstraße,9.934844,53.547905
Bahnhof Altona Ost/Max-Brauer-Allee,9.936005,53.552121
Kurze Mühren/Spitalerstraße,10.00415,53.552611
Schulterblatt/Eifflerstraße,9.96099,53.562709
Große Bergstraße / Jessenstraße,9.94576,53.5512
Königstraße / Struenseestraße,9.94241,53.5471
Kurt-Schumacher-Allee / Nagelsweg,10.016,53.5517
Berliner Tor / Berlinertordamm,10.0246,53.5533
Zentralbibliothek / Münzstraße,10.008849,53.550332
Steinstraße / Deichtorplatz,10.005325,53.548562
Hauptbahnhof West / Glockengießer Wall,10.004553,53.553676
Hauptbahnhof Ost / Hachmannplatz,10.007652,53.554307
Jacobikirche / Steinstraße,10.0015,53.5503
Meßberg / Willy-Brandt-Straße,9.998774,53.547805
Jungfernstieg / Ballindamm,9.995501,53.552244
Mönckebergstraße / Rosenstraße,9.99714,53.550722
Universität / Schlüterstraße,9.986076,53.566972
Universität / Moorweidenstraße,9.987659,53.563755
Bahnhof Dammtor Nord // Theodor-Heuss-Platz,9.99043,53.5614
Gänsemarkt / Büschstraße,9.990091,53.556282
Rödingsmarkt / Großer Burstah,9.98695,53.5483
Enckeplatz / Hütten,9.97695,53.5524
Messehallen / Marktstraße,9.975346,53.558518
Bahnhof Altona West / Busbahnhof,9.93387,53.5518
Neuer Pferdemarkt / Beim Grünen Jäger,9.963824,53.558869
Reeperbahn / Königstraße,9.954934,53.549501
Millerntorplatz/St.Pauli,9.97033,53.551
Harvestehuder Weg / Alte Rabenstraße,10.0011,53.5672
Hallerstraße / Rohtenbaumchaussee,9.988801,53.572081
Uhlandstraße / Eingang Nord,10.0267,53.565
Lerchenfeld / Uferstraße,10.0318,53.567
Jarrestraße / Rambatzweg,10.0211,53.584
Hudtwalckerstraße / Bebelallee,9.99575,53.5943
Stadthausbrücke / Neuer Wall,9.986594,53.549672
Jungfernstieg / Neuer Jungfernstieg,9.9914,53.555
Bahnhof Dammtor Süd / Marseiller Straße,9.98963,53.5602
Kleine Rosenstraße / Gerhart-Hauptmann-Platz,9.99843,53.5516
Lange Reihe / Kirchenallee,10.0082,53.5552
Lange Reihe / Lohmühlenpark,10.0149,53.5599
Michaeliskirche / Krayenkamp,9.97942,53.547975
Mönckebergstraße / Steintorwall,10.0054,53.5516
Steindamm / Stralsunder Straße,10.013306,53.554216
Chemnitzstraße / Max-Brauer-Allee,9.94286,53.5553
Sternschanze / Eingang Dänenweg,9.96925,53.564227
Eppendorfer Baum / Isestraße,9.98441,53.5832
Hammerbrook / Sachsenfeld,10.024042,53.546011
Lohmühlenstraße / Steindamm,10.0199,53.5572
Martinistraße / Haupteingang Klinikum,9.975715,53.588918
Kümmellstraße / Robert-Koch-Straße,9.98673,53.590237
Kellinghusenstraße / Loogeplatz,9.991125,53.588516
Goldbekplatz / Semperstraße,10.01,53.5838
Mundsburg / Schürbeker Straße,10.0271,53.5696
Eduard-Rhein-Ufer / Schwanenwik,10.0162,53.5677
Wartenau / Lübecker Straße,10.0341,53.5636
Landwehr / Ramazan-Avci-Platz,10.037022,53.561109
Lübecker Straße / Marienkrankenhaus,10.0285,53.5597
